model,feature,triangle_fraction_nonzero_mean,triangle_fraction_nonzero_ci_lo,triangle_fraction_nonzero_ci_hi,pearson_r,spearman_rho
distilgpt2,heads,0.5758,0.3636,0.6970,,
distilgpt2,residual,0.0542,0.0535,0.0546,,
EleutherAI/gpt-neo-125M,heads,0.8384,0.8030,0.8788,,
EleutherAI/gpt-neo-125M,residual,0.1694,0.1684,0.1702,,
EleutherAI/pythia-1b,heads,0.5000,0.5000,0.5000,,
EleutherAI/pythia-1b,residual,0.5024,0.5024,0.5024,,
facebook/opt-125m,heads,0.6313,0.5909,0.6667,,
facebook/opt-125m,residual,0.0447,0.0442,0.0451,,
facebook/opt-350m,heads,0.3667,0.3667,0.3667,,
facebook/opt-350m,residual,0.3058,0.3058,0.3058,,
