model,feature,worst_lambda_min_mean,worst_lambda_min_ci_lo,worst_lambda_min_ci_hi,worst_neg_mass_mean,worst_neg_mass_ci_lo,worst_neg_mass_ci_hi,disentangle_total_neg_mass_mean,disentangle_total_neg_mass_ci_lo,disentangle_total_neg_mass_ci_hi,layer0_lambda_min_mean,layer1_lambda_min_mean,layer0_neg_mass_mean,layer1_neg_mass_mean
distilgpt2,heads,-0.022517859809164775,-0.025711595700213013,-0.0201207000919381,0.030627255007168657,0.02365375871127141,0.03866825897059429,5.706609333333333,5.5019770999999995,5.9348854499999995,-7.42956200400739e-17,-6.100282782388853e-17,0.0,0.0
distilgpt2,residual,-17.328274537470396,-17.40035529294182,-17.241861853890438,2124.9293938860133,2121.0873086274783,2131.74581622045,66.05996333333333,62.063553,68.2647635,-3.6703802374515333,-2.9371391095953743,18.303419134327108,8.677216942001033
EleutherAI/gpt-neo-125M,heads,-0.08834050273001237,-0.09443940511979446,-0.07790869082605682,0.1390315835883064,0.13436795725801184,0.14557808554073912,5.268320666666667,5.1539968,5.45973245,-6.486964950921172e-17,-6.876172112435166e-17,0.0,0.0
EleutherAI/gpt-neo-125M,residual,-19.46365064215855,-19.820309641766336,-19.2034911180093,1136.3726687140418,1136.1914589409653,1136.5289218488354,57.40502,55.9875225,58.838387000000004,-0.5540394561127102,-0.7224105999817912,2.3847898231015776,2.320147249271132
EleutherAI/pythia-1b,heads,-0.019200894157173614,-0.019200894157173614,-0.019200894157173614,0.019200894157173614,0.019200894157173614,0.019200894157173614,3.901574,3.901574,3.901574,-1.557021570399829e-17,-3.346054142408249e-17,0.0,0.0
EleutherAI/pythia-1b,residual,-27.825736905003446,-27.825736905003446,-27.825736905003446,8635.691271968406,8635.691271968406,8635.691271968406,76.02135,76.02135,76.02135,-3.606850907659494,-4.287224381461569,20.785817233872603,11.14325228789575
facebook/opt-125m,heads,-0.052686044049313215,-0.05968167263421729,-0.04307836215882313,0.07367982414826409,0.06129568234844574,0.08061801985414016,7.781432333333334,7.70645095,7.857066799999999,-7.796715619390088e-17,-7.357659485896464e-17,0.0,0.0
facebook/opt-125m,residual,-17.035036179343773,-17.214387140088764,-16.75976922338453,2117.5020852222156,2113.5649870953284,2122.934209606319,66.63129666666667,57.335418000000004,74.1244925,-3.9618066952592117,-2.56090057981468,19.99880281225492,7.7649421058115
facebook/opt-350m,heads,-0.0848279259117637,-0.0848279259117637,-0.0848279259117637,0.24427249372905763,0.24427249372905763,0.24427249372905763,10.41747,10.41747,10.41747,-2.3580076692218834e-16,-1.3925849428741844e-16,0.0,0.0
facebook/opt-350m,residual,-20.424397688212746,-20.424397688212746,-20.424397688212746,2699.2946653407557,2699.2946653407557,2699.2946653407557,65.09307,65.09307,65.09307,-1.7525417857449586,-2.7441014451530488,14.15335541702636,7.2861586938307354
